t_0,t_1,t_2
-1.0,-1.0,16.03103119885526
21.26822180114474,-1.0,19.263138198855263
22.37740180114474,-1.0,22.49524519885526
24.496281801144736,-1.0,23.127352198855263
28.248737801144735,-1.0,22.125883198855263
29.401193801144736,-1.0,21.12441419885527
28.71224980114473,-1.0,20.122945198855277
28.02330580114473,-1.0,19.121476198855277
27.334361801144738,-1.0,18.120007198855276
26.645417801144745,-1.0,17.118538198855276
25.956473801144753,-1.0,16.117069198855262
25.153584600858565,-1.0,15.229545399141443
24.12881445064393,-1.0,14.563902549356072
22.93763358798293,-1.0,14.064670412017051
21.59078172532196,-1.0,13.721109274678014
20.12940948354796,-1.0,13.492068516452008
18.59169032236531,-1.0,13.339374677634652
17.110960214910193,-1.0,13.09299378508976
15.847344643273459,-1.0,8.525129856726494
10.488891446636728,-1.0,8.457265928363242
9.596506285818379,-1.0,11.023333964181608
9.623535535818386,-1.0,14.167671464181637
12.027015690545591,-1.0,10.21200896418167
11.494776922636444,-1.0,5.002281732090818
6.432771737106087,-1.0,3.98607486604541
4.826640301575743,-1.0,6.335434000000005
-1.0,-1.0,11.248476000000007
6.622391999999998,-1.0,16.161518000000004
11.624983999999996,-1.0,19.973113000000005
19.227576,-1.0,18.619142500000002
25.593104499999995,-1.0,11.402235500000003
24.858632999999998,-1.0,6.452341000000004
18.3155035,-1.0,4.711104500000005
11.990497749999996,-1.0,6.440486250000005
7.7146147499999955,-1.0,11.353528250000005
8.229199375,-1.0,16.266570250000008
12.226991749999994,-1.0,-1.0
18.94851916666667,-1.0,12.881654833333336
21.312400000000004,-1.0,14.687376
-1.0,-1.0,18.687387
20.540752000000005,-1.0,20.087398
25.098808000000005,-1.0,19.085929
29.656864000000006,-1.0,18.08446
31.614920000000005,-1.0,17.082991000000007
30.97297600000001,-1.0,16.081522000000007
30.161200000000008,-1.0,15.202885000000009
29.129764750000007,-1.0,14.543907250000018
27.933585062500015,-1.0,14.049673937500017
31.081734375000025,-1.0,13.711111625000001
31.517029583333354,-1.0,13.485403416666657
29.977088722222234,-1.0,13.33493127777777
28.38699048148149,-1.0,13.234616518518493
26.763453987654316,-1.0,13.16774001234566
25.117625325102864,-1.0,13.123155674897106
23.456935216735246,-1.0,13.093432783264717
21.78633747782348,-1.0,9.755241188843172
16.790758318548995,-1.0,5.242031014784345
9.936779159274494,-1.0,7.828820840725513
8.719389579637237,-1.0,11.879021087029429
10.14240000000001,-1.0,15.929221333333352
14.18561042036276,-1.0,17.07109591297061
18.060076898605423,-1.0,11.28171443472796
14.834543376848085,-1.0,5.492332956485306
8.555251077312946,-1.0,4.202951478242652
5.982243777777796,-1.0,6.307285
-1.0,-1.0,11.22249
4.107930944444451,-1.0,15.73344433333331
6.592080000000005,-1.0,13.14439866666662
11.226779333333312,-1.0,7.991452333333314
13.285005499999967,-1.0,8.01497916666666
12.075478666666623,-1.0,11.306259000000003
7.200166749999987,-1.0,18.824348
7.901247374999993,-1.0,-1.0
12.151992000000007,-1.0,29.188993999999994
19.75805600000001,-1.0,30.471316999999992
-1.0,-1.0,29.469847999999995
31.73776800000001,-1.0,28.468378999999995
33.827624000000014,-1.0,27.46690999999999
33.31748000000002,-1.0,26.46544099999999
32.62853600000001,-1.0,25.463972
31.939592000000005,-1.0,24.462503000000005
31.250648000000005,-1.0,23.461034000000012
30.561704000000006,-1.0,22.459565000000012
29.872760000000014,-1.0,21.458096000000012
29.18381600000002,-1.0,20.456626999999997
28.49487200000003,-1.0,19.455157999999983
27.805928000000037,-1.0,18.45368899999997
27.116984000000045,-1.0,17.452219999999954
26.42804000000004,-1.0,16.45075099999994
25.708571250000034,-1.0,15.479806749999938
24.74636643750003,-1.0,14.751598562499936
23.60210957812501,-1.0,14.060857421874942
22.15759671875,-1.0,9.17037228124994
16.21308385937499,-1.0,8.77988714062495
13.466404763020819,-1.0,11.184644570312463
12.149697651909728,-1.0,14.328982070312492
14.306273651909713,-1.0,10.373319570312525
13.846418008680565,-1.0,5.091209213541674
8.015353708043975,-1.0,4.03053860677084
5.640163157407411,-1.0,6.335433999999998
4.591973578703705,-1.0,11.248476
6.66787878935186,-1.0,16.161517999999997
11.670470789351858,-1.0,19.973112999999998
19.27306278935186,-1.0,18.619142499999995
25.638591289351858,-1.0,11.402235499999996
24.90411978935186,-1.0,6.452340999999997
18.36099028935186,-1.0,4.711104499999998
12.020822276234576,-1.0,6.4404862499999975
7.729777013117285,-1.0,11.353528249999998
8.236780506558645,-1.0,16.26657025
12.226991750000002,-1.0,-1.0
18.948519166666674,-1.0,12.881654833333332
21.312400000000004,-1.0,14.687376
-1.0,-1.0,18.687387
20.540752000000005,-1.0,20.087398
25.098808000000005,-1.0,19.085929
29.656864000000006,-1.0,18.08446
31.614920000000005,-1.0,17.082991000000007
30.97297600000001,-1.0,16.081522000000007
30.161200000000008,-1.0,15.202885000000009
29.129764750000007,-1.0,14.543907250000018
27.933585062500015,-1.0,14.049673937500017
26.581734375000025,-1.0,13.711111625000001
25.117029583333363,-1.0,13.485403416666657
23.577088722222243,-1.0,13.33493127777777
21.986990481481513,-1.0,13.234616518518493
20.36345398765434,-1.0,13.16774001234566
18.717625325102887,-1.0,13.123155674897106
17.187393216735273,-1.0,13.093432783264717
16.037242227823498,-1.0,9.755241188843172
11.854601381049008,-1.0,5.242031014784345
6.646007867607835,-1.0,7.828820840725513
7.074003933803908,-1.0,11.879021087029429
9.31970717708333,-1.0,15.929221333333352
13.77426400890442,-1.0,17.07109591297061
18.060076898605423,-1.0,11.28171443472796
15.245889788306425,-1.0,5.492332956485306
8.82948201828517,-1.0,4.202951478242652
6.119359248263908,-1.0,6.307285
-1.0,-1.0,11.22249
4.142209812065978,-1.0,15.73344433333331
6.592080000000008,-1.0,13.14439866666662
11.226779333333319,-1.0,7.991452333333314
13.285005499999974,-1.0,8.01497916666666
12.07547866666663,-1.0,11.306259000000003
7.20016674999999,-1.0,18.824348
7.9012473750000005,-1.0,-1.0
12.151992000000007,-1.0,29.188993999999994
19.75805600000001,-1.0,30.471316999999992
-1.0,-1.0,29.469847999999995
31.73776800000001,-1.0,28.468378999999995
33.827624000000014,-1.0,27.46690999999999
33.31748000000002,-1.0,26.46544099999999
32.62853600000001,-1.0,25.463972
31.939592000000005,-1.0,24.462503000000005
31.250648000000005,-1.0,23.461034000000012
30.561704000000006,-1.0,22.459565000000012
29.872760000000014,-1.0,21.458096000000012
33.68381600000002,-1.0,20.456626999999997
34.89487200000002,-1.0,19.455157999999983
34.20592800000003,-1.0,18.45368899999997
33.516984000000036,-1.0,17.452219999999954
32.828040000000044,-1.0,16.45075099999994
32.10857125000004,-1.0,15.479806749999938
31.146366437500035,-1.0,14.751598562499936
30.002109578125015,-1.0,14.060857421874942
28.557596718750005,-1.0,9.17037228124994
22.613083859374996,-1.0,8.77988714062495
17.7330714296875,-1.0,11.184644570312463
16.766047429687497,-1.0,14.328982070312492
16.78869028645834,-1.0,10.373319570312525
16.32883464322918,-1.0,5.091209213541674
9.670298131076388,-1.0,4.03053860677084
6.467635368923617,-1.0,6.335433999999998
5.005709684461806,-1.0,11.248476
6.8747468422309055,-1.0,16.161517999999997
11.877338842230904,-1.0,19.973112999999998
19.479930842230907,-1.0,18.619142499999995
25.845459342230903,-1.0,11.402235499999996
25.110987842230905,-1.0,6.452340999999997
18.567858342230906,-1.0,4.711104499999998
12.158734311487272,-1.0,6.4404862499999975
7.798733030743634,-1.0,11.353528249999998
8.27125851537182,-1.0,16.26657025
12.226991750000002,-1.0,-1.0
18.948519166666674,-1.0,12.881654833333332
21.312400000000004,-1.0,14.687376
-1.0,-1.0,18.687387
20.540752000000005,-1.0,20.087398
25.098808000000005,-1.0,19.085929
29.656864000000006,-1.0,18.08446
31.614920000000005,-1.0,17.082991000000007
30.97297600000001,-1.0,16.081522000000007
30.161200000000008,-1.0,15.202885000000009
29.129764750000007,-1.0,14.543907250000018
27.933585062500015,-1.0,14.049673937500017
26.581734375000025,-1.0,13.711111625000001
25.117029583333363,-1.0,13.485403416666657
23.577088722222243,-1.0,13.33493127777777
21.986990481481513,-1.0,13.234616518518493
20.36345398765434,-1.0,13.16774001234566
18.717625325102887,-1.0,13.123155674897106
17.187393216735273,-1.0,13.093432783264717
16.037242227823498,-1.0,9.755241188843172
11.854601381049008,-1.0,5.242031014784345
6.646007867607835,-1.0,7.826886219363246
8.529841956456124,-1.0,-1.0
6.023640756720567,-1.0,-1.0
5.846492378360278,-1.0,-1.0
8.357918189180138,-1.0,-1.0
13.27966218918014,-1.0,-1.0
15.86455818918014,-1.0,-1.0
-1.0,-1.0,-1.0
7.456723094590071,-1.0,-1.0
8.110357547295036,-1.0,-1.0
13.112453547295038,-1.0,-1.0
